May 15 19:55:37 <wavemode>	:t (<$)
May 15 21:47:48 <crestfallen>	interesting
May 15 21:48:02 *	ski . o O ( Wittgenstein throwing away the ladder, after climbing up )
May 15 21:48:21 <crestfallen>	if lions could talk we still wouldn't understand them
May 15 21:48:31 <ski>	crestfallen : get what resolved ?
May 15 21:49:42 <crestfallen>	so no worries, I haven't grasped forall quite yet :)
May 15 21:51:27 <ski>	another complication with it is that there's no explicit syntax, for going from `map :: forall a b. (a -> b) -> [a] -> [b]' to `map :: (_a0 -> _b0) -> [_a0] -> [_b0]' .. we have the same `map', to the left of the `::', in both cases !
May 15 21:51:27 <crestfallen>	so if `Int -> [a] -> [a]' was equal to `forall a. Int -> [a] -> [a]', then `(Int -> [a] -> [a]) -> Bool' would be equal to `(forall a. Int -> [a] -> [a]) -> Bool' .. but it definitely isn't
May 15 21:51:36 <crestfallen>	this part I don't follow ^
May 15 21:51:49 <ski>	which part of it ?
May 15 21:52:46 <crestfallen>	well first:
May 15 21:53:11 <crestfallen>	are these equal?    Int -> [a] -> [a] = forall a. Int -> [a] -> [a]
May 15 21:53:20 <ski>	no
May 15 21:54:06 <crestfallen>	sorry. well first to be clear, is the use of forall tied directly to type constraints?
May 15 21:54:39 <crestfallen>	we were talking about constraints
May 15 21:55:30 <ski>	well, `=>'
May 15 21:55:40 <ski>	's tends to be coupled with `forall'
May 15 21:55:52 <ski>	(but `forall' without `=>' is also common)
May 15 21:56:17 <crestfallen>	geez
May 15 21:56:20 <ski>	if you want to, you could write a function
May 15 21:56:42 <ski>	  sortStrings :: Ord String => [String] -> [String]
May 15 21:56:51 <ski>	(with no `forall', implicit or otherwise)
May 15 21:57:06 <crestfallen>	ok
May 15 21:57:09 <ski>	however, there's no point to this, since we already know `String' is an instance of `Ord'
May 15 21:57:19 <ski>	so therefore, we can simplify this to just
May 15 21:57:24 <ski>	  sortStrings :: [String] -> [String]
May 15 21:58:08 <crestfallen>	right, but the name of the function sheds some light on the purpose
May 15 21:58:27 <crestfallen>	so does the constraint
May 15 21:59:14 <crestfallen>	like if it was ff :: Ord String => [String] -> [String]
May 15 21:59:14 <ski>	in order to have a constraint that can't be simplified away like this, in a signature, you need to have it possibly stand for a constraint that isn't holding
May 15 22:00:09 <ski>	if you had
May 15 22:00:18 <ski>	  blah :: Eq (Integer -> Integer) => ...
May 15 22:00:50 <ski>	then noone should ever make `Integer -> Integer' an instance of `Eq'. because it's not possible to decide whether two such functions are equal
May 15 22:01:03 <ski>	so, `blah' can never be called
May 15 22:01:10 <ski>	(so, this is also a useless case)
May 15 22:01:22 <ski>	but if you have
May 15 22:01:30 <ski>	  blah :: forall a. Eq a => ...
May 15 22:02:22 <ski>	then, depending on which type you use in place of `a', `Eq a' will either become a constraint that is known to hold (there is an instance for it), or a constraint that is not known to hold (like `Eq (Integer -> Integer)', if `a' is chosen to be `Integer -> Integer')
May 15 22:02:49 <ski>	so, in this case, we can't simplify away the constraint `Eq a'
May 15 22:03:19 <crestfallen>	...
May 15 22:03:42 <ski>	btw, you could have a constraint, without a `forall', usefully .. but it's rare
May 15 22:04:09 <c_wraith>	other than 0-arg classes?
May 15 22:04:29 <ski>	c_wraith : `Dict', e.g.
May 15 22:04:49 <crestfallen>	so essentially my understanding of a type constraint will cover most of the meaning of forall I guess
May 15 22:05:24 <ski>	crestfallen : you should understand plain polymorphism, before constrained polymorphism, not the other way around, i'd say
May 15 22:06:22 <ski>	crestfallen : when considering the types, in relation to polymorphism, always start by inserting omitted `forall's, if there's any
May 15 22:07:03 <crestfallen>	polymorphism just means that the function (a -> b) may return a b - a unique type - or still return whatever 'a' was
May 15 22:07:21 <ski>	no
May 15 22:07:30 <Welkin>	there are multiple kinds of polymorphism
May 15 22:07:34 <Welkin>	they are all different
May 15 22:07:45 <Welkin>	say what you mean instead of using buzzwords
May 15 22:08:07 <ski>	yea, in a Haskell context, if one says "polymorphism", one intends "parametric polymorphism"
May 15 22:08:20 <Welkin>	type variables/generics is one, function overloading is another
May 15 22:08:24 <ski>	(i can link to a paper talking about different kinds as well ..)
May 15 22:08:28 <Welkin>	then you have the OO-style polymorphism
May 15 22:08:43 <ski>	subtyping
May 15 22:10:29 <crestfallen>	monomorphism is when you have a type constraint. you can't interchange types, the function is designed for just one.
May 15 22:10:56 <ski>	  ord :: Char -> Int
May 15 22:11:10 <ski>	`ord' has just a single type. `ord' is monomorphic
May 15 22:11:21 <ski>	  take :: Int -> [Bool] -> [Bool]
May 15 22:11:46 <ski>	  take :: Int -> [(Int,[String])] -> [(Int,[String])]
May 15 22:11:47 <crestfallen>	monomorphic
May 15 22:12:11 <ski>	  take :: Int -> [[Int -> Int]] -> [[Int -> Int]]
May 15 22:12:15 <ski>	  ...
May 15 22:12:34 <ski>	`take' has many types, infinitely many, all following the shape
May 15 22:12:40 <ski>	  take :: Int -> [a] -> [a]
May 15 22:12:49 <ski>	`take' is (parametrically) polymorphic
May 15 22:13:27 <ski>	"monomorphic" means "single shape", while "polymorphic" means "many shapes"
May 15 22:14:33 <crestfallen>	but take :: Int -> [a] -> [a] is a single shape above right?
May 15 22:15:01 <crestfallen>	' ... all following the shape '
May 15 22:15:11 <ski>	`a' is a type variable, not a specific type like `Bool',`(String,String)',&c.
May 15 22:15:32 <ski>	`take :: Int -> [a] -> [a' can be called a "type signature schema"
May 15 22:16:36 <ski>	consider
May 15 22:16:39 <ski>	@src Eq
May 15 22:16:39 <lambdabot>	class Eq a where
May 15 22:16:39 <lambdabot>	    (==), (/=) :: a -> a -> Bool
May 15 22:16:48 <ski>	the definition of the `Eq' type class
May 15 22:17:16 <ski>	i claim the two methods, `(==)' and `(/=)', are not polymorphic, as members of this type class !
May 15 22:18:44 <ski>	why ? .. well, take the specific case of `Eq Bool'. in that instance, the implementations of `(==)' and `(/=)' ought to have type `Bool -> Bool -> Bool' .. we have to have monomorphic implementations, not polymorphic ones, here
May 15 22:19:20 <ski>	in this case, `(==), (/=) :: a -> a -> Bool's is not an abbreviation for `(==), (/=) :: forall a. a -> a -> Bool'
May 15 22:20:00 <ski>	and the reason is because there's already a type variable `a' in scope, in the head of the class declaration, in `Eq a'
May 15 22:20:30 <ski>	the `a' in the signature is talking about the same `a' as in `Eq a', hence we're not allowed to insert a `forall a.' there, in the signature
